domain,score,tranco_rank,category,sector_tags,theme,plugins,homepage_kb,verified_at,screenshot
naturalair.co.zw,73,,business,tech;retail;energy,acrepair,cardoza-facebook-like-box;contact-form-7;elementor;google-site-kit;jetpack;mailchimp-for-wp;revslider;wp-consent-api;wp-whatsapp-chat,119,2026-05-01T12:36:36.059983+00:00,screenshots/naturalair.co.zw.png
medpride.co.zw,100,,other,other,oceanwp,elementor;ocean-extra,137,2026-05-01T12:36:36.918053+00:00,screenshots/medpride.co.zw.png
cbf.co.zw,100,,business,tech;retail,sparklestore,better-wp-security;contact-form-7;mystickymenu;responsive-accordion-and-collapse;woo-rfq-for-woocommerce;woocommerce;woocommerce-grid-list-toggle;yith-woocommerce-compare;yith-woocommerce-quick-view;yith-woocommerce-wishlist,101,2026-05-01T12:36:40.416748+00:00,screenshots/cbf.co.zw.png
umguzardc.org.zw,100,,government,other,moniz,betterdocs;contact-form-7;elementor;kirki;moniz-addon;smart-recent-posts-widget;woocommerce;wp-job-manager;wp-whatsapp;yith-woocommerce-wishlist,129,2026-05-01T12:36:43.372271+00:00,screenshots/umguzardc.org.zw.png
naturesfoods.co.zw,100,,ecommerce,agriculture;retail,naturesfood,Paynow-for-WooCommerce-master;addons-for-visual-composer;ajax-login-and-registration-modal-popup;contact-form-7;js_composer;modeltheme-framework;revslider;woocommerce;yith-woocommerce-compare;yith-woocommerce-wishlist,244,2026-05-01T12:36:44.202807+00:00,screenshots/naturesfoods.co.zw.png
qrent.co.zw,100,,ecommerce,tech;retail,Divi,formidable,172,2026-05-01T12:36:47.964347+00:00,screenshots/qrent.co.zw.png
barons.co.zw,100,,ecommerce,retail;transport,Divi,xagio-seo,154,2026-05-01T12:36:48.419785+00:00,screenshots/barons.co.zw.png
iconmarketing.co.zw,100,,business,tech;media,hello-elementor,elementor;header-footer-elementor;premium-addons-for-elementor;royal-elementor-addons,143,2026-05-01T12:36:50.735335+00:00,screenshots/iconmarketing.co.zw.png
qb.co.zw,100,,business,tech;finance,customify,contact-form-7;elementor;woocommerce,110,2026-05-01T12:36:50.967741+00:00,screenshots/qb.co.zw.png
kiggen.co.zw,100,,business,real-estate,Divi,Divi-Ultimate-Footer-Plugin;popups-for-divi;xagio-seo,152,2026-05-01T12:36:58.442224+00:00,screenshots/kiggen.co.zw.png
radiozim.co.zw,100,,news,media,proradio,contact-form-7;elementor;icons2go;proradio-chartvote;proradio-dedications;proradio-elementor;proradio-reaktions;proradio-sidekick;proradio-simplechat;proradio-swipebox;proradio-videogalleries;qt-places;qtmplayer,214,2026-05-01T12:37:00.476776+00:00,screenshots/radiozim.co.zw.png
neguschronicles.co.zw,100,,blog,media,smart-mag,cleantalk-spam-protect;elementor;responsivevoice-text-to-speech,164,2026-05-01T12:37:01.929262+00:00,screenshots/neguschronicles.co.zw.png
n1hotel.co.zw,100,,ecommerce,hospitality,Avada,litespeed-cache;revslider,134,2026-05-01T12:37:04.464774+00:00,screenshots/n1hotel.co.zw.png
ri.msu.ac.zw,100,,education,tech,research-innovation,download-manager;elementor;elementskit-lite;essential-addons-for-elementor-lite;header-footer-elementor;lastudio-element-kit;makohflow-slider;newsify;research-innovation;staff-profiles,243,2026-05-01T12:37:07.596131+00:00,screenshots/ri.msu.ac.zw.png
thezimbabwetimes.co.zw,78,,news,media,soledad,contact-form-7;elementor;jetpack;penci-portfolio;penci-recipe;penci-review;penci-shortcodes;webpushr-web-push-notifications,824,2026-05-01T12:37:10.241540+00:00,screenshots/thezimbabwetimes.co.zw.png
mealiebrand.co.zw,100,,ecommerce,agriculture;retail,Divi,google-site-kit;woocommerce,190,2026-05-01T12:37:13.865908+00:00,screenshots/mealiebrand.co.zw.png
backasable.co.zw,100,,other,other,hello-elementor,Paynow-for-WooCommerce-master;elementor;jeg-elementor-kit;metform;wc-donation-platform;woo-checkout-field-editor-pro;woocommerce,347,2026-05-01T12:37:15.210346+00:00,screenshots/backasable.co.zw.png
kipros.co.zw,100,,business,real-estate,kadence,click-to-chat-for-whatsapp;elementor;royal-elementor-addons;the-post-grid,95,2026-05-01T12:37:18.828701+00:00,screenshots/kipros.co.zw.png
dulys.co.zw,100,,ecommerce,retail;transport,hello-elementor,complianz-gdpr;elementor;elementor-pro;essential-addons-for-elementor-lite;header-footer-elementor,178,2026-05-01T12:37:20.921022+00:00,screenshots/dulys.co.zw.png
mic.gov.zw,98,,government,other,,,,,
mines.gov.zw,98,,government,mining,,,,,
energy.gov.zw,98,,government,energy,,,,,
gillfunsteel.co.zw,100,,business,mining,,,,,
safeafricarealestate.co.zw,100,,ecommerce,real-estate,,,,,
jobs.bambazonke.co.zw,100,,business,tech;retail,,,,,
gogodeliveryexpress.co.zw,100,,ecommerce,transport;retail,,,,,
gmbdura.co.zw,90,,government,agriculture,,,,,
abdeel.co.zw,73,,other,other,,,,,
orleanscarrental.co.zw,100,,ecommerce,hospitality;transport,,,,,
testdomain6.gov.zw,100,,government,other,,,,,
ucaz.org.zw,100,,government,legal,,,,,
pmiz.org.zw,78,,other,other,,,,,
nbsz.co.zw,100,,ngo,health,,,,,
bardproperty.co.zw,100,,business,real-estate,,,,,
mbawala.co.zw,100,,other,other,,,,,
trinity.org.zw,93,,ngo,other,,,,,
saywhat.org.zw,100,,ngo,health,,,,,
qualitysurveillance.co.zw,100,,business,tech;retail,,,,,
supremesigns.co.zw,100,,business,retail;tech,,,,,
sustenergy.co.zw,100,,business,energy;tech,,,,,
caaps.co.zw,100,,business,retail;tech,,,,,
secnet.co.zw,100,,education,education,,,,,
thetelescope.co.zw,100,,business,hospitality;tourism,,,,,
goldenconifer.co.zw,100,,business,hospitality,,,,,
calla.co.zw,100,,other,,,,,,
natpharm.co.zw,100,,business,health;retail,,,,,
orangeturf.co.zw,90,,business,retail,,,,,
suzukiassoc.co.zw,100,,ngo,education,,,,,
zimbabwedomains.co.zw,85,,business,tech,,,,,
pachikoro.co.zw,78,,other,,,,,,
shabachdigital.co.zw,100,,business,tech;media,,,,,
venetianschampions.co.zw,100,,business,retail,,,,,
ww5.msu.ac.zw,100,,education,education,,,,,
selvineconsultancy.co.zw,73,,business,finance;legal,,,,,
sealachem.co.zw,100,,business,tech;retail,,,,,
dzimbajaravaza.co.zw,100,,business,legal,,,,,
doglovers.co.zw,98,,ecommerce,retail,,,,,
vitalscales.co.zw,100,,business,retail;tech,,,,,
tjassociates.co.zw,100,,business,legal;tech,,,,,
craftmetric.co.zw,100,,business,retail;tech,,,,,
domccp.co.zw,100,,religious,health,,,,,
rosacare.org.zw,100,,ngo,health,,,,,
grandfireservices.co.zw,100,,business,retail,,,,,
libraries.msu.ac.zw,78,,education,tech,,,,,
globalturbo.co.zw,100,,business,other,,,,,
nationalgallery.co.zw,100,,other,media,,,,,
zfrpa.co.zw,100,,ngo,agriculture,,,,,
outofafrica.co.zw,90,,business,media,,,,,
enterprises.msu.ac.zw,100,,education,tech,,,,,
library.msuas.ac.zw,100,,education,tech,,,,,
cpchem.co.zw,100,,business,agriculture;retail,,,,,
abam.co.zw,100,,business,media;tech,,,,,
timelessauctions.co.zw,100,,ecommerce,retail,,,,,
medicalimaging.co.zw,100,,business,health,,,,,
zimbca.co.zw,100,,ngo,legal,,,,,
p31woman.co.zw,100,,blog,media,,,,,
toppersuniforms.co.zw,100,,ecommerce,retail,,,,,
propertysolutions.co.zw,100,,business,real-estate,,,,,
medix.co.zw,85,,other,tech,,,,,
mazowerdc.co.zw,100,,government,,,,,,
kudfort.co.zw,100,,business,real-estate,,,,,
creative.co.zw,100,,business,finance,,,,,
ndeipi.co.zw,100,,business,hospitality,,,,,
adept.co.zw,100,,business,tech,,,,,
events.thinklocal.co.zw,78,,business,other,,,,,
kevdigital.co.zw,100,,business,tech,,,,,
lamcast.co.zw,100,,business,other,,,,,
sentinel.co.zw,100,,business,tech,,,,,
stfrancisofassisiwaterfalls.co.zw,100,,other,hospitality,,,,,
kmnsecurityservices.co.zw,100,,business,other,,,,,
catholicdioceseofgweru.co.zw,100,,religious,,,,,,
dreams.co.zw,100,,business,finance,,,,,
kulu.co.zw,100,,business,energy,,,,,
drillforce.co.zw,100,,business,agriculture,,,,,
labpartners.co.zw,100,,business,health,,,,,
coverzen.co.zw,100,,business,finance,,,,,
zimalbino.co.zw,100,,ngo,health,,,,,
sewtex.co.zw,100,,ecommerce,retail,,,,,
ballatech.co.zw,98,,business,tech,,,,,
beautyworx.co.zw,100,,business,retail,,,,,
tidamotors.co.zw,100,,business,transport;retail,,,,,
vtu.co.zw,100,,business,hospitality,,,,,
ksfa.co.zw,100,,education,hospitality,,,,,
farmec.co.zw,100,,other,other,,,,,
zimbearings.co.zw,100,,business,mining;agriculture;transport,,,,,
lcshipping.co.zw,100,,business,transport,,,,,
abynca.co.zw,100,,business,other,,,,,
zimceo.co.zw,100,,business,other,,,,,
sterlinghospital.co.zw,100,,business,health,,,,,
zimetro.co.zw,100,,news,media,,,,,
zimbabwehot100.co.zw,100,,blog,media,,,,,
bwmedia.co.zw,78,,other,other,,,,,
crocomotors.co.zw,90,,business,retail;transport,,,,,
stateofthenation.co.zw,100,,other,other,,,,,
vivianmatsa.co.zw,100,,business,legal,,,,,
zimbabwewebhosting.co.zw,90,,business,tech,,,,,
msuas.ac.zw,100,,education,agriculture,,,,,
stonezimtravel.co.zw,93,,business,transport;hospitality,,,,,
motherpatrickconvent.ac.zw,88,,education,other,,,,,
incaptta.co.zw,73,,business,agriculture;retail,,,,,
morganzintec.ac.zw,100,,education,tech,,,,,
gpapartments.co.zw,100,,business,hospitality;real-estate,,,,,
wico.org.zw,100,,ngo,other,,,,,
zimluanda.gov.zw,100,,government,,,,,,
starpainters.co.zw,100,,business,retail,,,,,
wau.org.zw,100,,ngo,agriculture,,,,,
zimimmigration.gov.zw,98,,government,,,,,,
countryclub.co.zw,100,,business,hospitality;real-estate,,,,,
zimlusaka.gov.zw,100,,government,,,,,,
afrobloggers.org.zw,93,,blog,media,,,,,
septic-emptying.co.zw,100,,business,retail,,,,,
zimstockholm.gov.zw,98,,government,,,,,,
znbwcb.gov.zw,98,,government,,,,,,
cardinalacc.co.zw,93,,business,finance;legal,,,,,
laptopzone.co.zw,93,,ecommerce,tech;retail,,,,,
zrp.gov.zw,98,,government,,,,,,
thirdman.co.zw,100,,business,transport,,,,,
laptopsdirect.co.zw,100,,ecommerce,tech;retail,,,,,
zimskills.gov.zw,98,,government,,,,,,
mpslsw.gov.zw,78,,government,finance,,,,,
convox.innovura.co.zw,100,,business,tech,,,,,
zilan.org.zw,100,,ngo,agriculture,,,,,
cafca.co.zw,100,,ecommerce,tech;retail,,,,,
agriculture.co.zw,100,,news,agriculture;media,,,,,
zimbabweanpatriot.co.zw,100,,news,media,,,,,
megamedia.co.zw,100,,business,retail;media,,,,,
donminteiro.co.zw,100,,ecommerce,retail,,,,,
mez.co.zw,100,,business,hospitality,,,,,
driptech.co.zw,78,,business,agriculture;tech,,,,,
4thecity.org.zw,100,,blog,media,,,,,
fairhaven.co.zw,100,,business,tech,,,,,
wakandasolar.co.zw,100,,blog,energy,,,,,
mdlawchambers.co.zw,100,,business,legal,,,,,
propshaftscenter.co.zw,100,,business,transport,,,,,
megapak.co.zw,100,,business,retail,,,,,
aaomar.co.zw,100,,business,finance,,,,,
afrimedia.co.zw,100,,business,tech;media,,,,,
proskills.co.zw,100,,education,tech,,,,,
mic.co.zw,100,,business,health,,,,,
ardcz.org.zw,100,,government,agriculture,,,,,
paperplane.co.zw,100,,ecommerce,retail,,,,,
netlarks.co.zw,100,,other,tech,,,,,
migym.co.zw,100,,business,health;hospitality,,,,,
albtin.co.zw,100,,business,media,,,,,
tileandcarpetcentre.co.zw,100,,ecommerce,retail,,,,,
awet.org.zw,100,,ngo,other,,,,,
ptcattorneys.co.zw,100,,business,legal,,,,,
innocraft.co.zw,100,,business,tech,,,,,
icreate.co.zw,100,,business,media;tech,,,,,
centenary.co.zw,100,,education,other,,,,,
infinitecrosswise.co.zw,100,,business,real-estate;tech,,,,,
bhc.co.zw,100,,other,other,,,,,
library.msu.ac.zw,100,,education,other,,,,,
pcbz.co.zw,100,,business,tech,,,,,
zimparks.org.zw,70,,government,other,,,,,
landshapers.co.zw,100,,business,real-estate,,,,,
compstats.co.zw,100,,business,tech,,,,,
farmershelp.co.zw,100,,business,agriculture,,,,,
metroambulances.co.zw,100,,business,health,,,,,
pestportal.co.zw,100,,business,retail,,,,,
newshour.co.zw,100,,news,media,,,,,
petals.co.zw,100,,business,retail,,,,,
pestcontrolnetwork.co.zw,100,,business,retail,,,,,
nexasgas.co.zw,100,,business,energy;retail,,,,,
nbs.co.zw,100,,business,finance,,,,,
csi.co.zw,83,,business,transport,,,,,
petreans.co.zw,100,,other,other,,,,,
centurytechnology.co.zw,100,,business,tech,,,,,
chengeto.co.zw,100,,business,energy;other,,,,,
kumushasolar.co.zw,100,,business,energy,,,,,
dktoursandsafaris.co.zw,100,,business,hospitality,,,,,
walkingtractors.co.zw,100,,business,agriculture;retail,,,,,
newziana.co.zw,100,,news,media,,,,,
zimdef.org.zw,100,,government,other,,,,,
supremebrands.co.zw,100,,business,retail,,,,,
vortexdrilling.co.zw,98,,business,mining,,,,,
qutanga.co.zw,88,,blog,other,,,,,
afrocube.co.zw,100,,business,tech,,,,,
basechurch.org.zw,100,,religious,other,,,,,
capitalfoods.co.zw,100,,ecommerce,agriculture;retail,,,,,
innovatesafety.co.zw,100,,ecommerce,retail;tech,,,,,
lanforce.co.zw,100,,business,energy;agriculture,,,,,
aju.ac.zw,93,,education,education,,,,,
nestien.co.zw,100,,business,other,,,,,
ncc-zim.co.zw,100,,government,legal;tech,,,,,
septictankremovals.co.zw,100,,business,other,,,,,
cellmed.co.zw,93,,business,finance;health,,,,,
carmelschool.co.zw,100,,education,education,,,,,
archedusechre.ac.zw,100,,religious,other,,,,,
shokofestival.co.zw,100,,other,other,,,,,
andersonadventist.ac.zw,100,,religious,education,,,,,
rank.co.zw,100,,ecommerce,retail,,,,,
shapeitadhesives.co.zw,100,,ecommerce,retail,,,,,
agrifoods.co.zw,100,,business,agriculture;retail,,,,,
ctbolts.co.zw,100,,business,retail;other,,,,,
diy.co.zw,100,,blog,retail,,,,,
ravenshield.co.zw,100,,business,other,,,,,
games.cryptosine.co.zw,100,,business,tech;media,,,,,
nectacare.co.zw,93,,business,finance;health,,,,,
bondolfiteacherscollege.ac.zw,100,,education,other,,,,,
binduranickel.co.zw,100,,business,mining,,,,,
zhi.org.zw,100,,ngo,health,,,,,
biddulphs.co.zw,100,,business,transport,,,,,
shetco.co.zw,100,,business,tech,,,,,
rdconsulting.co.zw,100,,business,legal,,,,,
tip-off.co.zw,100,,business,tech;legal,,,,,
cellservices.co.zw,100,,blog,other,,,,,
library.buse.ac.zw,78,,education,other,,,,,
zimbusiness.co.zw,90,,business,other,,,,,
bataafrika.co.zw,100,,business,tech,,,,,
totems.co.zw,100,,other,other,,,,,
passionpoultry.co.zw,100,,business,agriculture,,,,,
zimgeo.co.zw,100,,business,tech,,,,,
binaryoptions.co.zw,100,,blog,finance,,,,,
redblue.co.zw,100,,business,retail,,,,,
dadaya.co.zw,100,,education,other,,,,,
ketamineclinic.co.zw,100,,business,health,,,,,
gsb.buse.ac.zw,100,,education,other,,,,,
petrotrade.co.zw,100,,business,energy,,,,,
cpay.co.zw,100,,business,finance;tech,,,,,
zimbabweacademyofmusic.org.zw,100,,education,media;other,,,,,
autoecuservicezim.co.zw,100,,ecommerce,retail;tech,,,,,
cendel.co.zw,100,,blog,other,,,,,
swift.co.zw,100,,other,other,,,,,
agrishow.co.zw,100,,business,agriculture;media,,,,,
viconion.co.zw,100,,ecommerce,retail;tech,,,,,
agrimillingstockfeeds.co.zw,100,,business,agriculture;retail,,,,,
becsa.ac.zw,100,,education,other,,,,,
touchstone.co.zw,100,,business,tech;finance,,,,,
kuchiva.co.zw,100,,ecommerce,retail;agriculture,,,,,
ahpcz.co.zw,100,,ngo,health;other,,,,,
law.co.zw,100,,government,legal;other,,,,,
ecocashbettingsites.co.zw,100,,business,finance;other,,,,,
magayasecondary.mopse.ac.zw,100,,education,other,,,,,
radiosolutions.co.zw,100,,business,tech;energy,,,,,
fawcetts.co.zw,100,,business,tech;other,,,,,
ravenduchess.co.zw,100,,blog,media;other,,,,,
kapondaprimary.mopse.ac.zw,100,,education,other,,,,,
caa.ac.zw,100,,other,other,,,,,
realsound.co.zw,93,,business,hospitality,,,,,
stclavernyikaprimary.mopse.ac.zw,100,,education,,,,,,
lbbrahmans.co.zw,100,,business,agriculture,,,,,
cannaqure.co.zw,100,,ecommerce,health;retail,,,,,
cpengineers.co.zw,85,,other,tech,,,,,
czi.co.zw,100,,business,other,,,,,
tacc.co.zw,100,,religious,,,,,,
ledgerpaints.co.zw,100,,business,retail,,,,,
dreamshiring.co.zw,100,,business,hospitality,,,,,
goldenbricks.co.zw,100,,business,other,,,,,
insidebusiness.co.zw,100,,news,media,,,,,
pearlville.co.zw,100,,business,real-estate,,,,,
walwenfreight.co.zw,100,,business,transport,,,,,
theprestige.co.zw,100,,ecommerce,retail,,,,,
ecological.co.zw,75,,business,hospitality;transport,,,,,
fibrehood.co.zw,93,,other,,,,,,
intwasa.co.zw,100,,ngo,media,,,,,
greensonline.co.zw,100,,ecommerce,retail,,,,,
bgh.ac.zw,100,,education,,,,,,
kitft.co.zw,100,,ngo,hospitality,,,,,
wanderlustsafaris.co.zw,100,,business,hospitality,,,,,
edohart.co.zw,100,,business,retail,,,,,
edgars.co.zw,100,,ecommerce,retail,,,,,
firstpackservices.co.zw,100,,business,tech,,,,,
internalcontrolinstitute.co.zw,100,,ngo,legal,,,,,
contruckafrica.co.zw,100,,business,real-estate,,,,,
groundup.co.zw,100,,business,finance,,,,,
veritaslogistics.co.zw,100,,business,transport,,,,,
ipec.co.zw,100,,government,finance,,,,,
trafficsafety.co.zw,80,,government,transport,,,,,
halal.co.zw,100,,ngo,retail;health,,,,,
shreveportfreight.co.zw,100,,business,transport,,,,,
arundel.ac.zw,100,,education,other,,,,,
medicalert.co.zw,100,,business,health,,,,,
flint.co.zw,100,,business,retail;energy,,,,,
idc.co.zw,90,,government,finance,,,,,
totalmedia.co.zw,100,,business,media,,,,,
startupbiz.co.zw,88,,blog,tech;finance,,,,,
mednet.co.zw,100,,business,health;finance,,,,,
watercorp.co.zw,100,,government,energy,,,,,
culturewarriorstrust.co.zw,93,,ngo,media;education,,,,,
colaz.org.zw,100,,education,other,,,,,
cab.co.zw,100,,business,retail;tech,,,,,
pcd.co.zw,100,,business,health;retail,,,,,
iprc.co.zw,100,,education,media,,,,,
tottengram.co.zw,100,,business,finance,,,,,
azzar.co.zw,100,,other,,,,,,
agrimed.co.zw,100,,ngo,health;agriculture,,,,,
ccjphre.org.zw,100,,religious,legal,,,,,
stattorneys.co.zw,100,,business,legal,,,,,
indale.co.zw,100,,business,retail;transport,,,,,
steelcentre.co.zw,100,,business,retail,,,,,
mif.co.zw,100,,business,finance,,,,,
lighthouse.co.zw,100,,ngo,other,,,,,
townstech.co.zw,100,,business,tech,,,,,
zimcurrentaffairs.co.zw,100,,news,media,,,,,
dsazim.org.zw,100,,ngo,other,,,,,
fastenit.co.zw,93,,business,retail,,,,,
gwaunzamapota.co.zw,100,,business,legal,,,,,
timebank.co.zw,100,,business,finance,,,,,
chitungwizapublicity.org.zw,95,,ngo,media,,,,,
cite.org.zw,100,,news,media,,,,,
web3.co.zw,100,,business,tech,,,,,
redgranite.co.zw,100,,business,mining,,,,,
mutendihighschool.ac.zw,100,,education,,,,,,
zimnat.co.zw,100,,business,finance,,,,,
ccz.org.zw,100,,ngo,legal,,,,,
library.nust.ac.zw,100,,education,,,,,,
pacczim.ac.zw,100,,education,,,,,,
talarius.co.zw,93,,business,tech,,,,,
limitless.co.zw,100,,business,tech,,,,,
crediblehost.co.zw,88,,business,tech,,,,,
mitchellcotts.co.zw,100,,business,transport,,,,,
fiz.co.zw,100,,business,retail;health,,,,,
factcheck.cite.org.zw,100,,news,media,,,,,
zpba.org.zw,100,,other,other,,,,,
ladsafrica.co.zw,100,,other,other,,,,,
flowertiqueflorist.co.zw,100,,ecommerce,retail,,,,,
zimquest.co.zw,100,,ecommerce,hospitality,,,,,
infiniteestate.co.zw,100,,business,real-estate,,,,,
lifasolutions.co.zw,100,,business,tech;media,,,,,
zimpackaging.co.zw,100,,business,retail,,,,,
promisetracker.cite.org.zw,100,,ngo,media,,,,,
nethero.co.zw,78,,other,other,,,,,
mobilcorner.co.zw,100,,ecommerce,retail;tech,,,,,
rcu.ac.zw,100,,education,other,,,,,
mutarepolytechnic.ac.zw,100,,education,other,,,,,
emeraldhome.org.zw,100,,ngo,other,,,,,
tafrivan.co.zw,100,,other,other,,,,,
zuj.org.zw,100,,ngo,media,,,,,
dzimbabweindustries.co.zw,100,,business,retail,,,,,
zimoco.co.zw,100,,other,other,,,,,
mollsoncleaners.co.zw,100,,business,other,,,,,
thinkit.co.zw,100,,business,tech,,,,,
interlogix.co.zw,100,,business,transport,,,,,
travelconnect.co.zw,100,,ecommerce,transport;hospitality,,,,,
gwandardc.co.zw,100,,government,other,,,,,
amacon.co.zw,100,,business,other,,,,,
bkpainters.co.zw,100,,business,other,,,,,
costcutter.co.zw,100,,ecommerce,transport,,,,,
lithshop.co.zw,100,,ecommerce,energy;tech,,,,,
ironlife.co.zw,100,,ecommerce,retail,,,,,
reeflite.co.zw,100,,other,other,,,,,
zsaes.org.zw,100,,business,agriculture,,,,,
zimplaza.co.zw,85,,business,tech,,,,,
zimplazajobs.co.zw,90,,business,tech,,,,,
aluconsult.co.zw,100,,business,tech,,,,,
bestpractices.co.zw,100,,business,tech,,,,,
ammz.co.zw,75,,business,mining,,,,,
market.ama.co.zw,100,,government,agriculture,,,,,
noticeboard.co.zw,100,,other,other,,,,,
news.pindula.co.zw,100,,news,media,,,,,
tracparts.co.zw,100,,business,agriculture,,,,,
grosvenorhouse.co.zw,100,,business,hospitality,,,,,
anniversary.ipec.co.zw,100,,government,legal,,,,,
lobelsbiscuits.co.zw,100,,business,retail,,,,,
zimintax.co.zw,100,,education,finance;legal,,,,,
pearlspot.co.zw,100,,business,retail,,,,,
shumbacoopers.co.zw,100,,business,agriculture;health,,,,,
amorsport.co.zw,100,,ecommerce,retail,,,,,
swh.co.zw,100,,business,retail,,,,,
stgileszim.co.zw,100,,business,health,,,,,
northolt.co.zw,100,,business,finance,,,,,
nmbproperties.co.zw,93,,business,real-estate,,,,,
bokwesttrucking.co.zw,100,,business,transport,,,,,
www5.zimsec.co.zw,90,,government,education,,,,,
cycling.co.zw,100,,blog,retail,,,,,
myeclass.ac.zw,100,,education,tech,,,,,
zlhr.org.zw,100,,ngo,legal,,,,,
newfuture.co.zw,88,,other,,,,,,
bain.co.zw,75,,business,other,,,,,
blackcrystal.co.zw,100,,business,tech,,,,,
