domain,score,tranco_rank,category,sector_tags,theme,plugins,homepage_kb,verified_at,screenshot
mimarshmedia.co.zw,100,,business,media;tech,,,,,
tankerworld.co.zw,80,,business,transport,,,,,
kilomarket.co.zw,100,,business,tech;media,,,,,
blacktoe.co.zw,100,,business,tech;media,,,,,
ctrade.co.zw,100,,business,other,,,,,
ecz.co.zw,80,,government,other,,,,,
daltonyorksafaris.co.zw,100,,business,hospitality,,,,,
destinyschools.ac.zw,100,,education,education,,,,,
cbs.ac.zw,100,,education,tech,,,,,
bestzonepharmacies.co.zw,100,,business,health;retail,,,,,
mmba.co.zw,100,,business,legal,,,,,
zimrugbyshop.co.zw,100,,ecommerce,retail,,,,,
pigad.co.zw,100,,ngo,other,,,,,
danzigerandpartners.co.zw,100,,business,legal,,,,,
metpole.co.zw,98,,business,tech,,,,,
csz.org.zw,100,,ngo,tech,,,,,
gowildtours.co.zw,100,,business,hospitality;transport,,,,,
firmcare.co.zw,100,,business,real-estate,,,,,
groundswell.co.zw,88,,business,real-estate,,,,,
selfcare.zimnat.co.zw,100,,business,finance,,,,,
nethosting.co.zw,100,,business,tech,,,,,
leengate.co.zw,100,,business,real-estate,,,,,
aluminiumdesignworks.co.zw,100,,business,tech,,,,,
genetics.cut.ac.zw,100,,education,agriculture,,,,,
dapletsolutions.co.zw,100,,business,tech;telecom,,,,,
loa.co.zw,100,,ngo,finance,,,,,
chingeyalegal.co.zw,100,,business,legal,,,,,
pmb.co.zw,100,,business,real-estate,,,,,
afrogazette.co.zw,100,,news,media,,,,,
lcn.co.zw,100,,business,telecom;tech,,,,,
tambarara.co.zw,73,,other,hospitality,,,,,
datcitizen.co.zw,100,,business,media;tech,,,,,
ellchart.ac.zw,100,,education,finance,,,,,
zimmidas.co.zw,90,,ecommerce,retail;transport,,,,,
library.rcu.ac.zw,100,,education,other,,,,,
fittedkitchens.co.zw,100,,business,retail;real-estate,,,,,
gtssecurity.co.zw,88,,business,tech;retail,,,,,
dbworks.co.zw,100,,other,tech,,,,,
plumtreetowncouncil.co.zw,100,,government,other,,,,,
pmconsultancy.co.zw,100,,business,legal,,,,,
nhaka.co.zw,100,,business,real-estate,,,,,
chipej.co.zw,100,,business,tech,,,,,
decision1.co.zw,100,,business,tech;media,,,,,
daws.co.zw,100,,ecommerce,mining;agriculture;transport,,,,,
pinpointtracking.co.zw,100,,blog,media;tech,,,,,
rhodesnyangahotel.co.zw,100,,other,hospitality,,,,,
gatewayctc.ac.zw,100,,education,other,,,,,
greentecenergy.co.zw,98,,business,energy;tech,,,,,
mmattorneys.co.zw,100,,business,legal,,,,,
ipr.co.zw,100,,business,finance,,,,,
efoods.co.zw,95,,ecommerce,retail;hospitality,,,,,
gsu.ac.zw,100,,education,other,,,,,
siontools.co.zw,98,,business,tech,,,,,
cchikwenengere.co.zw,100,,business,transport,,,,,
skinnersauto.co.zw,100,,business,transport;retail,,,,,
babe.net.co.zw,100,,other,other,,,,,
culinaryartsacademy.co.zw,100,,education,hospitality,,,,,
dmma.co.zw,100,,other,other,,,,,
bluefinrisk.co.zw,100,,business,finance,,,,,
netrade.co.zw,100,,business,retail,,,,,
smartuniforms.co.zw,100,,ecommerce,retail,,,,,
netedge.co.zw,100,,business,tech;transport,,,,,
showcaseit.co.zw,100,,business,tech,,,,,
skyport.co.zw,100,,business,transport,,,,,
cimas.co.zw,90,,business,health;finance,,,,,
contactfcc.co.zw,100,,other,other,,,,,
noahsarkteams.co.zw,100,,business,hospitality,,,,,
leensfunctionsflair.co.zw,100,,business,hospitality,,,,,
cheztravel.co.zw,100,,business,transport;hospitality,,,,,
novafeed.co.zw,100,,business,agriculture,,,,,
skyview.co.zw,100,,business,transport,,,,,
digitaleconomyconference.org.zw,100,,business,tech,,,,,
traverzetravel.co.zw,100,,business,transport;hospitality,,,,,
chemicalplus.co.zw,85,,business,tech;other,,,,,
tdih.co.zw,100,,blog,media,,,,,
zimgospelmasters.co.zw,100,,religious,media,,,,,
ama.co.zw,100,,government,agriculture,,,,,
nhc.co.zw,100,,government,retail;media,,,,,
media.rechargeafrica.co.zw,100,,business,media,,,,,
goptstove.co.zw,100,,ecommerce,energy;tech,,,,,
hararemagazine.co.zw,100,,news,media,,,,,
emerge.co.zw,100,,business,media,,,,,
transmiracopetroleum.co.zw,100,,business,energy,,,,,
hakagamepark.co.zw,100,,business,hospitality,,,,,
travelsavvy.co.zw,85,,ecommerce,transport,,,,,
tmlawyers.co.zw,100,,business,legal,,,,,
tax.co.zw,90,,business,finance;legal,,,,,
smartmeters.co.zw,100,,business,energy;tech,,,,,
tps.co.zw,100,,business,real-estate,,,,,
stgeorges.co.zw,93,,education,,,,,,
flutterby.co.zw,100,,business,retail,,,,,
eisaz.co.zw,100,,business,mining;tech,,,,,
freightworld.co.zw,100,,business,transport,,,,,
healthtimes.co.zw,100,,news,health;media,,,,,
dayforce.co.zw,100,,business,retail;finance,,,,,
eeztel.co.zw,100,,business,telecom;tech,,,,,
zoppa.org.zw,100,,ngo,agriculture,,,,,
dataanalysis.co.zw,100,,business,tech,,,,,
vivamarketing.co.zw,100,,business,retail,,,,,
tpg.co.zw,100,,business,other,,,,,
friendlyacademy.co.zw,100,,education,,,,,,
flayaz.co.zw,95,,business,tech,,,,,
epworthhigh.ac.zw,93,,education,,,,,,
trustcon.co.zw,100,,business,tech,,,,,
folio.co.zw,100,,ecommerce,retail,,,,,
crestcraftengineering.co.zw,100,,business,tech,,,,,
focas.co.zw,100,,ngo,energy,,,,,
revitusreit.co.zw,100,,business,real-estate;finance,,,,,
wilsoft.co.zw,100,,business,tech,,,,,
cilt.co.zw,100,,business,transport,,,,,
exxtreme.co.zw,100,,business,media,,,,,
fingrow.co.zw,100,,business,finance,,,,,
westendclinic.co.zw,100,,business,health,,,,,
dawnpropertyconsult.co.zw,73,,business,real-estate,,,,,
bluehillscamp.co.zw,95,,business,hospitality,,,,,
instacare.co.zw,100,,business,health,,,,,
winlux.co.zw,100,,business,retail,,,,,
freshspot.co.zw,93,,other,,,,,,
wfdr.co.zw,100,,business,finance,,,,,
hastt.co.zw,98,,business,agriculture,,,,,
zimschool.co.zw,100,,education,tech,,,,,
innovura.co.zw,100,,business,tech,,,,,
iyasa.co.zw,98,,education,other,,,,,
willdale.co.zw,100,,business,other,,,,,
itel.co.zw,100,,business,telecom,,,,,
blendplants.co.zw,85,,business,mining;agriculture,,,,,
islandhospice.co.zw,100,,business,health,,,,,
zimining.co.zw,100,,business,mining,,,,,
philaxy.co.zw,100,,business,finance,,,,,
zimbabwewebdesign.co.zw,90,,business,tech,,,,,
lucent.co.zw,100,,business,finance;legal,,,,,
elearning.co.zw,100,,education,tech,,,,,
mikesradiators.co.zw,98,,business,retail,,,,,
fozzby.co.zw,100,,ecommerce,retail;tech,,,,,
zischool.co.zw,100,,education,tech,,,,,
zec.org.zw,78,,government,other,,,,,
windmill.co.zw,100,,business,agriculture,,,,,
wintertons.co.zw,100,,business,legal,,,,,
gmc.org.zw,100,,ngo,media,,,,,
teamview.co.zw,100,,business,other,,,,,
frolgategroup.co.zw,100,,business,tech,,,,,
fost.co.zw,100,,ngo,agriculture,,,,,
ioez.co.zw,100,,ngo,tech,,,,,
tremmly.co.zw,100,,business,tech,,,,,
mmmlegalpractitioners.co.zw,100,,business,legal,,,,,
sizanehighame.ac.zw,100,,education,other,,,,,
silverbrook.co.zw,100,,business,real-estate,,,,,
taumrewa.co.zw,100,,blog,legal,,,,,
ziyahnews.co.zw,88,,news,media,,,,,
aic.co.zw,93,,business,finance,,,,,
nrz.co.zw,100,,government,transport,,,,,
bluewaters.co.zw,100,,business,health,,,,,
fertilizer.co.zw,100,,business,agriculture;retail,,,,,
freightsolutions.co.zw,100,,business,transport,,,,,
hac.co.zw,100,,other,,,,,,
zina-zw.org.zw,100,,ngo,health,,,,,
signola.co.zw,100,,ecommerce,retail;tech,,,,,
moonlight.co.zw,100,,business,finance,,,,,
chipulaplumbers.co.zw,78,,business,other,,,,,
foodgalahospitality.co.zw,100,,business,hospitality;education,,,,,
mrradiator.co.zw,100,,business,retail,,,,,
numbereighteen.co.zw,100,,business,hospitality,,,,,
numeri.co.zw,100,,other,,,,,,
jackslaundry.co.zw,100,,business,retail,,,,,
dataage.co.zw,100,,business,tech,,,,,
motorsportzimbabwe.co.zw,100,,business,other,,,,,
nrzcpf.co.zw,100,,business,finance,,,,,
hardmonds.co.zw,100,,business,energy,,,,,
cresolzim.co.zw,100,,business,finance;legal;tech,,,,,
muchiniattorneys.co.zw,100,,business,legal,,,,,
peterhousegroup.co.zw,100,,education,other,,,,,
lookingfor.co.zw,100,,other,other,,,,,
refair.co.zw,100,,business,retail;tech;energy,,,,,
taniamfreight.co.zw,100,,business,transport,,,,,
zimstat.co.zw,93,,government,other,,,,,
mrflyer.co.zw,100,,business,media;tech;retail,,,,,
ntsgroup.co.zw,100,,business,retail;transport,,,,,
mogda.co.zw,100,,government,other,,,,,
motornet.co.zw,100,,business,retail;transport,,,,,
logodesign.co.zw,90,,business,media;tech,,,,,
davipel.co.zw,100,,other,retail;health,,,,,
appliedcontrols.co.zw,100,,business,tech;energy;mining,,,,,
harveytile.org.zw,100,,business,retail;mining,,,,,
uzicss.uz.ac.zw,100,,education,health,,,,,
citimedhospital.co.zw,100,,business,health;retail,,,,,
madzivireattorneys.co.zw,100,,business,legal,,,,,
novicwater.co.zw,100,,ecommerce,retail;energy,,,,,
jaddem.co.zw,100,,other,other,,,,,
areteworld.co.zw,100,,other,other,,,,,
newspro.co.zw,100,,news,media,,,,,
humaneafricatrust.org.zw,100,,ngo,health,,,,,
sirdc.ac.zw,100,,education,tech,,,,,
boreholebandits.co.zw,100,,ecommerce,agriculture;energy,,,,,
moovah.co.zw,100,,other,finance,,,,,
aravas.co.zw,100,,ecommerce,health;retail,,,,,
peakwoodvillage.co.zw,100,,other,real-estate,,,,,
zimtipihire.co.zw,100,,ecommerce,hospitality,,,,,
mabushavenue.co.zw,100,,blog,other,,,,,
frosthouse.co.zw,100,,ecommerce,retail;tech,,,,,
cketchagilitydesigns.co.zw,78,,other,other,,,,,
mtfumigators.co.zw,100,,ecommerce,health;retail,,,,,
applered.co.zw,100,,other,tech,,,,,
westminster.co.zw,100,,education,other,,,,,
wgbkinsey.co.zw,100,,other,mining,,,,,
nzira.co.zw,100,,ecommerce,hospitality;transport,,,,,
rongamari.wanamari.co.zw,100,,other,finance,,,,,
lynxtech.co.zw,100,,ecommerce,tech;retail,,,,,
premiersteel.co.zw,100,,ecommerce,retail,,,,,
bozmic.co.zw,100,,business,transport,,,,,
kirscorner.zimsite.co.zw,100,,blog,,,,,,
160hydrofarm.zimsite.co.zw,100,,business,agriculture,,,,,
reeldon.co.zw,100,,business,retail,,,,,
arcfin.co.zw,100,,business,tech,,,,,
adr.ac.zw,100,,blog,,,,,,
chickenhut.co.zw,100,,business,hospitality;retail,,,,,
nwss.co.zw,100,,business,other,,,,,
breezefm.co.zw,100,,business,media,,,,,
pawmwrought.co.zw,100,,business,retail,,,,,
zimunda.co.zw,93,,blog,agriculture;media,,,,,
apexrainbow.co.zw,100,,other,,,,,,
hardscrabble.co.zw,100,,other,,,,,,
apex.co.zw,100,,business,energy;retail,,,,,
tsikdem.co.zw,100,,news,media,,,,,
nuclass.co.zw,100,,education,tech,,,,,
danox.co.zw,100,,business,retail,,,,,
fsg.co.zw,93,,business,agriculture,,,,,
archaluminium.co.zw,100,,business,retail,,,,,
motsohoney.co.zw,100,,business,agriculture;retail,,,,,
tropic.co.zw,100,,business,hospitality;retail;travel,,,,,
plus.co.zw,88,,business,other,,,,,
hartholdings.co.zw,100,,business,other,,,,,
pfnsolar.co.zw,100,,business,energy;tech,,,,,
gmsae.gzu.ac.zw,100,,education,agriculture;education,,,,,
tombstonelife.zimsite.co.zw,100,,business,finance;health,,,,,
zmwft.co.zw,100,,other,other,,,,,
chips.co.zw,100,,business,tech,,,,,
brightsparksolutions.co.zw,100,,ecommerce,retail;tech;energy,,,,,
thegrangeschool.ac.zw,100,,education,education;religious,,,,,
postonsunday.co.zw,100,,news,media,,,,,
empretec.co.zw,100,,ngo,tech;education,,,,,
datacopy.co.zw,100,,business,finance,,,,,
jdeedesigns.co.zw,100,,business,tech;media,,,,,
ww5.gwerupoly.ac.zw,78,,education,education,,,,,
hcls.gzu.ac.zw,100,,education,education;legal,,,,,
solarshack.co.zw,100,,ecommerce,energy;retail,,,,,
talent.co.zw,100,,business,tech,,,,,
arcwellinsurance.co.zw,90,,business,finance,,,,,
mowbrat.co.zw,100,,business,transport,,,,,
pioneeringhealth.co.zw,100,,business,health,,,,,
jnsss.gzu.ac.zw,100,,education,tech,,,,,
msadvisory.co.zw,100,,business,finance,,,,,
riveroflifechurch.co.zw,100,,religious,other,,,,,
righthaus.co.zw,95,,business,real-estate,,,,,
skypharma.co.zw,100,,business,health;retail,,,,,
ict.gzu.ac.zw,100,,education,tech,,,,,
hawkersiddeley.co.zw,100,,business,tech;energy,,,,,
bridgecleaners.co.zw,100,,business,other,,,,,
cityparking.co.zw,100,,business,transport,,,,,
techshop.co.zw,85,,ecommerce,tech;retail,,,,,
popandplay.co.zw,100,,business,tech,,,,,
fpa.ac.zw,100,,education,tech,,,,,
clad.co.zw,100,,education,tech,,,,,
nnlawpractice.co.zw,83,,business,legal,,,,,
softrite.co.zw,98,,business,tech,,,,,
smsmhs.gzu.ac.zw,100,,education,health;tech,,,,,
solardistrict.co.zw,100,,business,energy;retail,,,,,
tv.destinationzimbabwe.co.zw,100,,news,media,,,,,
nicolesanderson.co.zw,100,,blog,other,,,,,
shelter.co.zw,70,,business,finance;real-estate,,,,,
library.gzu.ac.zw,100,,education,other,,,,,
timecontrol.softrite.co.zw,100,,business,tech,,,,,
halaalzim.co.zw,88,,ngo,retail,,,,,
terezim.co.zw,100,,business,real-estate,,,,,
rgmshe.gzu.ac.zw,100,,education,other,,,,,
adc.ac.zw,80,,education,other,,,,,
climatebrief.co.zw,100,,news,media,,,,,
livinghope.co.zw,100,,religious,other,,,,,
ns.gzu.ac.zw,100,,education,other,,,,,
borrowdalevilla.co.zw,100,,business,real-estate,,,,,
thatonproperty.co.zw,100,,business,real-estate,,,,,
enaz.co.zw,98,,ngo,other,,,,,
vitalityfoods.co.zw,100,,business,retail;health,,,,,
hilmax.co.zw,100,,other,other,,,,,
eezystairs.co.zw,100,,business,retail,,,,,
celebrationinternationalschool.ac.zw,100,,education,other,,,,,
mtb.co.zw,100,,education,other,,,,,
umzingwanerdc.co.zw,100,,government,other,,,,,
jplp.co.zw,100,,business,legal,,,,,
dawnconsult.co.zw,73,,business,real-estate,,,,,
fambidzanai.org.zw,100,,other,,,,,,
history.co.zw,100,,ngo,media,,,,,
esgnetworkzimbabwe.co.zw,100,,business,finance;other,,,,,
wembleytools.co.zw,100,,business,retail,,,,,
hoodridge.co.zw,100,,business,tech;energy,,,,,
jibilika.org.zw,100,,ngo,media,,,,,
emcoz.co.zw,100,,other,,,,,,
magikalbmw.co.zw,100,,business,retail;transport,,,,,
loveshouldnthurt.org.zw,98,,ngo,health,,,,,
sopconsulting.co.zw,70,,business,tech,,,,,
braai.co.zw,93,,other,,,,,,
tuliptek.co.zw,100,,business,tech,,,,,
cityglass.co.zw,100,,business,retail,,,,,
ocmqs.co.zw,88,,business,legal,,,,,
planthire.co.zw,83,,business,transport;agriculture,,,,,
mbirerdc.org.zw,100,,government,,,,,,
ziwc.ac.zw,100,,education,other,,,,,
brandtech.co.zw,100,,business,tech,,,,,
hit.ac.zw,100,,education,tech,,,,,
kwekwecity.org.zw,100,,government,other,,,,,
muthengo.co.zw,100,,business,transport;hospitality,,,,,
zimche.ac.zw,100,,education,education,,,,,
garageforecourt.co.zw,100,,business,energy;retail,,,,,
ucpf.co.zw,100,,business,finance,,,,,
mukanyafinancialservices.co.zw,100,,business,finance;legal,,,,,
zru.co.zw,100,,other,other,,,,,
larchezim.org.zw,100,,ngo,health;other,,,,,
cliffsecurity.co.zw,100,,business,other,,,,,
zinwa.co.zw,100,,government,energy,,,,,
mtmattorneys.co.zw,100,,business,legal,,,,,
deridon.co.zw,78,,business,hospitality;transport,,,,,
sprachschuleinstitute.ac.zw,100,,education,education,,,,,
zim.ac.zw,100,,education,education,,,,,
arlac.co.zw,100,,ngo,legal;other,,,,,
jrm.org.zw,100,,religious,other,,,,,
marjen.co.zw,100,,business,mining;retail,,,,,
appertax.co.zw,100,,business,tech,,,,,
trogon.co.zw,100,,business,energy;tech,,,,,
primalair.co.zw,85,,business,tech;retail,,,,,
openclass.co.zw,100,,education,media,,,,,
treeoflifeadventures.co.zw,100,,business,hospitality,,,,,
onpointsolar.co.zw,100,,business,energy;tech,,,,,
mavambotrust.org.zw,100,,ngo,health,,,,,
attelecoms.co.zw,100,,business,telecom,,,,,
primebricks.co.zw,100,,business,real-estate,,,,,
esoft.co.zw,100,,business,tech,,,,,
primedental.co.zw,100,,business,health,,,,,
twt.co.zw,100,,business,retail;transport,,,,,
artcorp.co.zw,100,,business,retail,,,,,
primo.co.zw,75,,business,retail,,,,,
anixsys.co.zw,100,,other,tech,,,,,
busyworld.co.zw,100,,business,finance,,,,,
cossedemo.zmx.co.zw,100,,business,finance,,,,,
printflow.co.zw,93,,business,retail;tech,,,,,
prochem.co.zw,100,,business,retail,,,,,
jobsportal.co.zw,95,,business,other,,,,,
zimren.ac.zw,100,,education,tech,,,,,
esigodini.agriculture.ac.zw,100,,education,agriculture,,,,,
hevoifm.co.zw,100,,news,media,,,,,
macmutlaw.co.zw,100,,business,legal,,,,,
climatenewsroom.co.zw,100,,news,media,,,,,
muller-phipps.co.zw,100,,business,health;retail,,,,,
lucraft.co.zw,100,,business,tech,,,,,
divinefreight.co.zw,93,,business,transport,,,,,
ulendo.co.zw,100,,other,,,,,,
digitalprinting.co.zw,100,,business,tech;retail,,,,,
orangesolar.co.zw,100,,business,energy,,,,,
comkwik.co.zw,100,,other,,,,,,
zvieeo.co.zw,100,,ngo,other,,,,,
divinehealthcentre.co.zw,100,,business,health,,,,,
kyleprep.ac.zw,100,,education,,,,,,
sabarm.co.zw,83,,business,finance;legal,,,,,
coachgreens.co.zw,88,,education,other,,,,,
wrsswitchgear.co.zw,100,,business,hospitality;tech,,,,,
xplug.co.zw,93,,business,tech,,,,,
thegray.co.zw,100,,business,real-estate;hospitality,,,,,
rumero.co.zw,100,,blog,tech,,,,,
dissertations.co.zw,100,,education,other,,,,,
gentech.co.zw,100,,business,energy;tech,,,,,
gene.co.zw,100,,business,finance,,,,,
specialistsjunior.co.zw,100,,education,,,,,,
theblast.co.zw,100,,news,media,,,,,
tsholotshordc.co.zw,100,,government,,,,,,
geopomona.co.zw,100,,business,other,,,,,
excelelevators.co.zw,100,,business,other,,,,,
jtpservices.co.zw,100,,business,real-estate,,,,,
smartserve.co.zw,100,,business,finance,,,,,
turnpike.co.zw,100,,business,transport,,,,,
aurumaestheticsurgery.co.zw,100,,business,health,,,,,
expomix.co.zw,100,,business,tech,,,,,
kamatechprojects.co.zw,100,,business,tech,,,,,
expressmedia.co.zw,100,,business,media,,,,,
cjaccounting.co.zw,100,,business,finance,,,,,
theinternet.co.zw,100,,blog,tech,,,,,
gbg.co.zw,100,,blog,media,,,,,
citycloud.co.zw,100,,business,tech,,,,,
evolve.co.zw,100,,business,tech,,,,,
theobserverzim.co.zw,100,,news,media,,,,,
termitecontrol.co.zw,100,,business,health,,,,,
rongamari.co.zw,100,,business,finance,,,,,
digjet.co.zw,100,,ecommerce,retail;tech,,,,,
bridgewood.co.zw,100,,business,real-estate,,,,,
ultrabank.co.zw,100,,business,finance,,,,,
hwangetown.co.zw,100,,government,other,,,,,
cloverleaf.co.zw,100,,business,retail;transport,,,,,
digitalfoundry.co.zw,100,,business,tech;media,,,,,
hygienicservices.co.zw,100,,business,health,,,,,
arcpay.co.zw,100,,business,finance;tech,,,,,
zans.co.zw,100,,ngo,health,,,,,
silverbrookestate.co.zw,85,,business,real-estate,,,,,
springhubpublishing.co.zw,100,,business,media,,,,,
etickets.co.zw,100,,ecommerce,tech;hospitality,,,,,
zas.co.zw,100,,ngo,agriculture,,,,,
udcorp.co.zw,100,,business,real-estate,,,,,
marymount.ac.zw,100,,education,other,,,,,
zbms.co.zw,100,,ecommerce,retail,,,,,
codchem.co.zw,100,,business,other,,,,,
arlington.co.zw,100,,business,real-estate,,,,,
cmlawchambers.co.zw,100,,business,legal,,,,,
premiersound.co.zw,100,,business,media;retail;tech,,,,,
lkfri.org.zw,93,,education,tech;other,,,,,
etimes.co.zw,100,,news,finance;media,,,,,
musasa.co.zw,100,,ngo,health;other,,,,,
standardglobal.co.zw,100,,business,telecom;tech,,,,,
milestoneschools.ac.zw,100,,education,other,,,,,
mrbush.co.zw,100,,ecommerce,retail,,,,,
montrosejunior.ac.zw,100,,education,other,,,,,
batanaiprimary.mopse.ac.zw,100,,education,other,,,,,
davidguzuzusecondary.mopse.ac.zw,100,,education,other,,,,,
zuvapetroleum.co.zw,98,,business,energy,,,,,
turningpointinv.co.zw,100,,business,tech;mining,,,,,
themobilechef.co.zw,100,,business,hospitality;retail,,,,,
thabanizororai.co.zw,100,,ecommerce,retail,,,,,
oracsystems.co.zw,100,,business,tech;mining,,,,,
cmchain.co.zw,100,,business,tech;mining,,,,,
hsbricks.co.zw,100,,business,real-estate;retail,,,,,
royalvacations.co.zw,100,,business,hospitality;transport,,,,,
multilinkcargo.co.zw,100,,business,transport;other,,,,,
genixsolutions.co.zw,100,,business,tech,,,,,
premiummobility.co.zw,100,,ecommerce,transport;hospitality,,,,,
ccosa.ac.zw,100,,education,tech;other,,,,,
yorklodge.co.zw,100,,ecommerce,hospitality;real-estate,,,,,
prochoiceagritec.co.zw,100,,business,agriculture;tech,,,,,
bluelacerecycling.co.zw,100,,business,energy;tech,,,,,
specsaversopticians.co.zw,100,,ecommerce,health;retail,,,,,
davidguzuzuprimary.mopse.ac.zw,100,,education,tech,,,,,
valorngroup.co.zw,100,,business,other,,,,,
unclebearsparties.co.zw,100,,ecommerce,hospitality;retail,,,,,
unforgettablegifts.co.zw,100,,ecommerce,retail;tech,,,,,
genericconstruction.co.zw,100,,business,tech;real-estate,,,,,
investor.zb.co.zw,100,,business,finance,,,,,
climax.co.zw,100,,business,tech;hospitality,,,,,
artfarm.co.zw,100,,ngo,agriculture;tech,,,,,
commutalk.co.zw,100,,news,media,,,,,
diamondfm.co.zw,100,,news,media,,,,,
eternalventures.co.zw,93,,ecommerce,retail;tech;energy,,,,,
thedeck.co.zw,78,,ecommerce,hospitality,,,,,
twalatrust.co.zw,100,,ngo,other,,,,,
homelistings.co.zw,100,,ecommerce,real-estate,,,,,
musabvunda.co.zw,100,,business,health,,,,,
springvalehouse.co.zw,85,,education,other,,,,,
clivemalunga.co.zw,100,,blog,media,,,,,
germanconstruction.co.zw,100,,business,real-estate,,,,,
upnat.co.zw,100,,business,tech;energy,,,,,
eversharp.co.zw,100,,blog,media,,,,,
xtremeholdingsint.co.zw,100,,business,other,,,,,
springbase.co.zw,85,,business,tech;real-estate,,,,,
